"Clave","Tipo de Incidencia","Principal","Resumen","Estado","Persona asignada","Start date","Fecha de inicio deducida","Fecha de vencimiento","Fecha de vencimiento deducida","Issue color"
"KAN-12","Epic","","Entrevista a usuario.","Finalizada","20 Herrera Gutierrez Armando “Nado” Herrera","2024/08/09","2024/08/09","2024/08/23","2024/08/23","purple"
"KAN-13","Epic","","Analizar requerimientos funcionales y no funcionales.","Finalizada","20 Herrera Gutierrez Armando “Nado” Herrera","2024/08/12","2024/08/12","2024/08/30","2024/08/30","purple"
"KAN-14","Epic","","Identificar usuarios a los que va dirigido.","Finalizada","Laura Castro","2024/08/09","2024/08/09","2024/08/12","2024/08/12","purple"
"KAN-15","Epic","","Elegir metodología para la elaboración del proyecto.","Finalizada","Alejandra Gomez","2024/08/13","2024/08/13","2024/08/14","2024/08/14","purple"
"KAN-16","Epic","","Definir roles y tareas para cada integrante del equipo.","Finalizada","Alejandra Gomez","2024/08/08","2024/08/08","2024/08/13","2024/08/13","purple"
"KAN-17","Epic","","Diseñar arquitectura.","En curso","Laura Castro","2024/09/02","2024/09/02","2024/09/20","2024/09/20","purple"
"KAN-18","Epic","","Diseñar interfaz.","En curso","20 Herrera Gutierrez Armando “Nado” Herrera","2024/09/02","2024/09/02","2024/09/20","2024/09/20","purple"
"KAN-19","Epic","","Desarrollo de código.","En curso","Laura Castro","2024/09/20","2024/09/20","2024/10/31","2024/10/31","purple"
"KAN-20","Epic","","Realizar pruebas del código.","En curso","Laura Castro","2024/10/14","2024/10/14","2024/10/31","2024/10/31","purple"
"KAN-21","Epic","","Validar aplicación.","En curso","Alejandra Gomez","2024/10/31","2024/10/31","2024/11/04","2024/11/04","purple"
"KAN-22","Epic","","Documentar código.","En curso","Laura Castro","2024/09/02","2024/09/02","2024/11/04","2024/11/04","purple"
"KAN-23","Epic","","Documentar proyecto.","En curso","Alejandra Gomez","2024/08/09","2024/08/09","2024/11/04","2024/11/04","purple"
"KAN-24","Epic","","Realizar manual de desarrollo.","En curso","Laura Castro","2024/09/20","2024/09/20","2024/11/06","2024/11/06","purple"
"KAN-25","Epic","","Realizar manual de usuario.","En curso","Alejandra Gomez","2024/10/31","2024/10/31","2024/11/07","2024/11/07","purple"
"KAN-26","Epic","","Capacitar usuarios.","En curso","20 Herrera Gutierrez Armando “Nado” Herrera","2024/11/08","2024/11/08","2024/11/11","2024/11/11","purple"
"KAN-27","Epic","","Probar y correción de errores de aplicación web.","En curso","Laura Castro","2024/11/11","2024/11/11","2024/11/15","2024/11/15","purple"
"KAN-28","Epic","","Entregar aplicación web.","En curso","Alejandra Gomez","2024/11/15","2024/11/15","","","purple"
"KAN-29","Epic","","Cuestionario de usabilidad.","En curso","Alejandra Gomez","2024/11/16","2024/11/16","2024/11/16","2024/11/16","purple"
